,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3800
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,717
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,567
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10595
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6754
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1827
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,169
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,11149
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,12283
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,-20
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,-702
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6832
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,385
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2275
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4283
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1404
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,824
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,6016
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9238
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2639
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,954
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2596
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4450
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1457
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5143
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5795
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6990
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,13881
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,10879
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,12723
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,428
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2911
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4428
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,12432
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,680
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2968
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,6276
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,2016
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9794
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,-1628
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,10044
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6779
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,10768
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,4024
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,496
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,13985
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,279
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,2294
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4828
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,5422
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,7004
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,-348
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1476
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4840
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4094
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3730
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,667
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3508
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4484
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,6130
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2791
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,7005
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,3214
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6783
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,1660
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3084
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14017
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,1332
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3432
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4266
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,12928
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3426
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3576
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,900
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,366
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,522
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7728
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,11700
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5753
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1032
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3171
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6648
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1761
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,1154
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,864
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2769
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,6930
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,8472
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,6023
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,-16
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,252
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1402
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2597
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1950
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,300
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5126
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,790
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,8606
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1171
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,4177
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1142
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4805
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,298
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5335
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7675
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,4583
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6691
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4355
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2616
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3860
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,-133
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3630
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6858
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9125
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8388
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3123
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1110
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,2039
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,2192
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,679
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1106
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,3169
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9701
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,8377
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5950
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1712
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1778
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1468
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,385
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6769
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1538
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1426
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1299
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,389
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11221
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7524
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,6404
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10422
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,768
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,17119
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5753
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,344
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,14090
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2773
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,290
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10515
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,1290
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,10298
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,754
300,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,6061
301,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,783
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,1782
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,8778
304,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,6494
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,16145
306,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,3278
307,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5800
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,-1120
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,4919
310,2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,14794
311,0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,1034
312,1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,9281
313,0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,1371
314,1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,10931
315,2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,11472
316,0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,517
317,0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,2374
318,0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,1290
319,1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,8418
320,1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,8162
321,0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,433
322,0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,4024
323,0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,-1396
324,0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,2260
325,2.17,Premium,H,SI1,59.9,61.0,8.39,8.38,5.02,15411
326,1.37,Ideal,H,VS1,63.8,56.0,7.01,6.98,4.46,9378
327,0.3,Very Good,F,VVS1,61.0,57.0,4.33,4.36,2.65,912
328,1.06,Premium,D,SI2,61.6,61.0,6.59,6.53,4.04,5558
329,0.32,Ideal,E,VVS1,60.9,57.0,4.42,4.45,2.7,1334
330,0.32,Premium,G,VS2,61.0,59.0,4.42,4.46,2.71,55
331,0.2,Premium,D,VS2,61.7,60.0,3.77,3.72,2.31,-506
332,0.7,Ideal,H,VS2,61.1,57.0,5.71,5.74,3.5,3096
333,0.53,Ideal,E,VS1,61.5,57.0,5.22,5.25,3.22,2662
334,0.71,Ideal,I,VVS1,62.4,55.0,5.69,5.76,3.57,3570
335,1.16,Ideal,G,VVS1,61.9,55.0,6.75,6.78,4.19,8526
336,1.01,Premium,E,SI1,59.2,60.0,6.56,6.51,3.87,5844
337,0.4,Ideal,G,VVS2,62.6,53.0,4.72,4.77,2.97,1648
338,1.51,Good,F,SI2,62.9,55.0,7.22,7.28,4.56,9042
339,1.04,Very Good,I,SI2,61.6,58.0,6.47,6.58,4.02,3902
340,0.37,Ideal,I,SI1,60.7,60.0,4.6,4.62,2.8,-965
341,0.37,Premium,F,VS2,60.5,59.0,4.62,4.67,2.81,701
342,0.64,Good,H,VS1,61.8,60.3,5.47,5.53,3.4,2524
343,2.01,Very Good,I,SI1,60.8,60.0,8.12,8.15,4.95,13493
344,1.29,Ideal,G,VS2,62.5,57.0,6.89,6.92,4.35,8830
345,1.01,Very Good,G,VVS2,63.4,55.0,6.41,6.34,4.04,6928
346,2.01,Premium,H,SI1,62.7,59.0,8.08,8.03,5.05,13985
347,0.51,Very Good,J,SI1,63.3,56.0,5.12,5.02,3.21,-748
348,0.53,Very Good,E,VS2,63.5,59.0,5.17,5.13,3.27,2196
349,1.01,Very Good,G,VS2,63.0,56.0,6.35,6.41,4.02,6181
350,0.31,Premium,E,VVS1,62.0,59.0,4.34,4.3,2.68,1112
351,0.36,Ideal,G,VVS1,60.0,56.0,4.66,4.69,2.81,1400
352,0.31,Premium,H,VS1,61.4,61.0,4.36,4.33,2.67,-198
